SOURCE	CATEGORY		FIELD_ID	FIELD_DESCRIPTION	TYPE		SEX-SPECIFICITY			Nº COMPLETENESS		% MISSINGNESS	
	UKBB_CATEGORY	GENERAL_CATEGORY			BINARY	QUANTITATIVE	MALE	FEMALE	COMMON_SEX	MALE	FEMALE	MALE	FEMALE
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26099	High_fat_cheese	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26100	Lamb	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26101	Legumes_and_pulses	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26102	Low_fat_yogurt	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26126	Low/non_sugar_sugar-sweetened_beverages	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26120	Mashed_potatoes	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26137	Meat_substitutes_-_soy	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26145	Meat_substitutes_-_vegetarian	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26103	Medium_and_low_fat_cheese	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26087	Milk-based_and_powdered_drinks	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26084	Milk-dairy_desserts	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26071	Mixed_bread_(50/50),_brown_and_seeded	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26105	Muesli	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26106	Nut-based_spreads	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26077	Oat_cereal_(non_sugar)	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26078	Oat_cereal_(sugar)	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26109	Oily_fish	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26110	Olive_oil_(drizzling/dunking)	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26072	Other_bread	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26079	Other_cereal_(sugar)	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26085	Other_desserts_and_cakes_and_pastries	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26093	Other_fruit	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26104	Other_meat,_offal	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26140	Other_sweets	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26146	Other_vegetables,_including_mushrooms,_fruiting_and_mixed_vegetables	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26115	Peas_and_sweetcorn	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26116	Pizza	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26111	Plant-based_spread_lower_fat	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26112	Plant-based_spread_normal	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26117	Pork	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26118	Potatoes_and_sweet_potatoes_(baked/boiled)	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26121	Poultry	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26122	Processed_meat	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26123	Raw_salad	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26152	Red_wine	0	1	0	0	1	26845	32220	86,14222736	85,8910696
